Name of Institution,Street Address,City,ZIP Code,County,Georeference
"NBT Bank, National Association",156 Robinson Street,Binghamton,13904,Broome,POINT (-75.889724 42.107508)
TD Bank N.A.,247 Long Beach Road,Oceanside,11572,Nassau,POINT (-73.638511 40.646079)
Valley National Bank,41 Front Street,Rockville Centre,11570,Nassau,POINT (-73.645947 40.658458)
Westside Community Federal Credit Union,125 East Buffalo Street,Churchville,14428,Monroe,POINT (-77.870143 43.108498)
Apple Bank For Savings,3986 Hempstead Turnpike,Bethpage,11714,Nassau,POINT (-73.489406 40.725264)
Manufacturers and Traders Trust Company,788 Tonawanda Street,Buffalo,14207,Erie,POINT (-78.904083 42.950231)
"Commerce Bank, N.A.",1200 Waters Place,Bronx,10461,Bronx,POINT (-73.837036 40.852886)
"Adirondack Trust Company, The",650 Maple Avenue - Route 9,Wilton,12866,Saratoga,
"Adirondack Trust Company, The",Route  50  and  Route 9,Saratoga Springs,12866,Saratoga,
Citibank N. A.,1330 First Avenue,New York,10021,New York,POINT (-73.956323 40.767359)
Apple Bank For Savings,168-42 Hillside Avenue,Jamaica,11432,Queens,POINT (-73.793449 40.710493)
Trustco Bank N.A. CTF,134-136 Main Street,Wynantskill,12198,Rensselaer,POINT (-74.820708 42.548996)
"JPMorgan Chase Bank, National Association",1100 PLEASANTVILLE RD,BRIARCLIFF,10510,Westchester,POINT (-73.829686 41.14948)
Santander Bank,3150 Amboy Road,Staten Island,10306,Richmond,POINT (-74.132299 40.563904)
"JPMorgan Chase Bank, National Association",725 East 233rd Street,Bronx,10466,Bronx,POINT (-73.856131 40.893)
Pioneer Savings Bank,10 Kendall Way,Malta,12020,Saratoga,POINT (-73.79518 42.972693)
Santander Bank,2814 Broadway,New York,10025,New York,POINT (-73.967219 40.803293)
Dime Community Bank,1600 Avenue M,Brooklyn,11230,Kings,POINT (-73.95895 40.618125)
"JPMorgan Chase Bank, National Association",102 South Main Street,New City,10956,Rockland,POINT (-73.990077 41.14384)
Bank of America N.A. GA1-006-15-40,10 Middle Neck Road,Great Neck,11021,Nassau,POINT (-73.727609 40.7872)
"Community Bank, N.A.",37 Main Street,Canaserage,14822,Allegany,POINT (-77.776368 42.461279)
First Central Savings Bank,35-01 30th Avenue,Astoria,11103,Queens,POINT (-73.91789 40.76526)
New York Community Bank,580 LARKFIELD ROAD,EAST NORTHPORT,11731,Suffolk,POINT (-73.318776 40.856801)
Sterling National Bank of New York,361 Sunrise Highway,Patchogue,11772,Suffolk,POINT (-73.031619 40.777912)
Teachers Federal Credit Union,556 Larkfield Road,East Northport,11731,Suffolk,POINT (-73.319266 40.858811)
Advantage Federal C.U.,225 WEST BROAD STREET,ROCHESTER,14614,Monroe,POINT (-77.617766 43.153926)
"Capital One, N.A.",840 Ninth Avenue,New York,10019,New York,POINT (-73.986874 40.766327)
State Employees Federal Credit Union,110 8th Street,Troy,12180,Rensselaer,POINT (-73.683985 42.73126)
"Key Bank, National Association",66 Main Street,Geneseo,14454,Livingston,POINT (-77.816725 42.796553)
Apple Bank For Savings,1693 Hempstead Turnpike,Elmont,11003,Nassau,POINT (-73.703623 40.707432)
Santander Bank,89-01 Northern Boulevard,Jackson Heights,11372,Queens,POINT (-73.87843 40.756334)
Canandaigua National Corporation,60-70 South Main Street,Canandaigua,14424,Ontario,POINT (-77.280816 42.88689)
"Key Bank, National Association",255 Genesee Street,Utica,13501,Oneida,POINT (-75.235192 43.099457)
Bank of America N.A. GA1-006-15-40,277 North Avenue,New Rochelle,10801,Westchester,POINT (-73.782872 40.9121)
Alco Federal Credit Union,24 East Main St,Cuba,14727,Allegany,POINT (-78.274799 42.217492)
TD Bank N.A.,2109 Broadway,New York,10023,New York,POINT (-73.981703 40.780057)
"JPMorgan Chase Bank, National Association",4 John Street,Amityville,11701,Suffolk,POINT (-73.41958 40.679017)
Manufacturers and Traders Trust Company,126 North Main Street,East Hampton,11937,Suffolk,POINT (-72.182052 40.969879)
Five Star Bank,1940 Monroe Ave,Rochester,14618,Monroe,POINT (-77.564627 43.12647)
Citibank N. A.,15 Southdown Road,Huntington,11743,Suffolk,POINT (-73.425908 40.879982)
Ridgewood Savings Bank,317 South Wellwood Avenue,Lindenhurst,11757,Suffolk,POINT (-73.370304 40.684012)
"Key Bank, National Association",3565 Main Street,Stone Ridge,12484,Ulster,POINT (-74.139838 41.852305)
"Community Bank, N.A.",8036 Route 60,Cassadaga,14718,Chautauqua,POINT (-79.311449 42.351225)
"NBT Bank, National Association",6563 Weighlock Drive,East Syracuse,13057,Onondaga,POINT (-76.079837 43.08804)
"NBT Bank, National Association",8260 Willett Parkway,Baldwinsville,13027,Onondaga,POINT (-76.300174 43.168129)
Manufacturers and Traders Trust Company,Route 17M  and  Route 6,Middletown,10940,Orange,POINT (-74.42751 41.420145)
"JPMorgan Chase Bank, National Association",247-20 Jamaica Avenue,Bellrose,11001,Nassau,POINT (-73.72104 40.72524)
TD Bank N.A.,244-05 Northern Boulevard,Little Neck,11362,Queens,POINT (-73.741918 40.765583)
ServU Federal Credit Union,10 Taylor Street,Hornell,14843,Steuben,POINT (-77.662632 42.324451)
"Bank of Castile, The",3140 Monroe Avenue,Rochester,14618,Monroe,POINT (-77.542086 43.106459)
State Employees Federal Credit Union,3460 Vestal Parkway,Vestal,13850,Broome,POINT (-75.98935 42.096662)
Municipal Credit Union,2518 Frederick Douglas Boulevard,New York,10030,New York,POINT (-73.946817 40.81615)
The Bank of Greene County,4266 State Route 9G,Germantown,12526,Columbia,POINT (-73.892261 42.133509)
Rondout Savings Bank,295-4 Route 375,West Hurley,12491,Ulster,POINT (-74.106029 42.005563)
Apple Bank For Savings,41 Commack Road,Commack,11725,Suffolk,POINT (-73.293186 40.841871)
Bethpage Federal Credit Union,2245 Middle Country Road,Centereach,11720,Suffolk,POINT (-73.091273 40.858178)
Bank of America N.A. GA1-006-15-40,157 South Street,Oyster Bay,11771,Nassau,POINT (-73.53126 40.870396)
"JPMorgan Chase Bank, National Association",775 Columbus Avenue,New York,10025,New York,POINT (-73.96673 40.793935)
"Key Bank, National Association",56 Westchester Avenue,Pound Ridge,10576,Westchester,POINT (-73.549829 41.189521)
Polish & Slavic Federal Credit Union,66-14 Grand Avenue,Maspeth,11378,Queens,POINT (-73.898217 40.72439)
Adirondack Bank,448 Route 3,Plattsburgh,12901,Clinton,
Manufacturers and Traders Trust Company,386 West Main Street,Batavia,14020,Genesee,POINT (-78.203982 43.005195)
New York Community Bank,2875 Veterans Road West,Staten Island,10309,Richmond,POINT (-74.229881 40.527601)
Manufacturers and Traders Trust Company,424 Route 376,Hopewell Junction,12533,Dutchess,POINT (-73.808484 41.579946)
Bank of America N.A. GA1-006-15-40,65 Metropolitan Oval,Bronx,10462,Bronx,POINT (-73.860585 40.837609)
Sea Comm Federal Credit Union,30 Stearns St,Massena,13662,St. Lawrence,POINT (-74.87361 44.928836)
"JPMorgan Chase Bank, National Association",95-38 Queens Boulevard,Rego Park,11374,Queens,POINT (-73.863341 40.730258)
Citizens Bank,2371 Central Park Avenue,Yonkers,10710,Westchester,POINT (-73.830512 40.979184)
Sterling National Bank of New York,179 South Main Street,New City,10956,Rockland,POINT (-73.990498 41.141292)
Royal Business Bank,42-08 Main Street,Flushing,11355,Queens,POINT (-73.828132 40.755019)
"JPMorgan Chase Bank, National Association",245 Merchants Road,Rochester,14609,Monroe,POINT (-77.548527 43.160124)
Apple Bank For Savings,1753 East Main Street,Mohegan Lake,10547,Westchester,POINT (-73.852927 41.323211)
"Key Bank, National Association",93 North Middletown Road,Pearl River,10965,Rockland,POINT (-74.012897 41.062521)
Investors Bank,896 Manhattan Avenue,Brooklyn,11222,Kings,POINT (-73.954167 40.73)
Saratoga National Bank & Trust Company,1963 Altamont Avenue,Rotterdam,12303,Schenectady,POINT (-73.956017 42.780279)
Wells Fargo ATM,1755 Broadway,New York,10019,New York,POINT (-73.981932 40.765743)
"Community Bank, N.A.",80 Main Street,Canton,13617,St. Lawrence,POINT (-75.170006 44.595583)
TRI-Lakes Federal Credit Union,197 BROADWAY,SARANAC LAKE,12983,Franklin,POINT (-74.137299 44.331814)
Bank of America N.A. GA1-006-15-40,3508 Johnson Avenue,Riverdale,10463,Bronx,POINT (-73.909934 40.885837)
Canandaigua National Corporation,2075 Monroe Avenue,Rochester,14618,Monroe,POINT (-77.561964 43.124083)
UNISTAR Federal Credit Union,555 Taxter Road,Elmsford,10591,Westchester,POINT (-73.829936 41.057383)
"Key Bank, National Association",4773 State Highway Route 30,Amsterdam,12010,Montogomery,POINT (-74.188423 42.977395)
Kearny Bank,1400 Hylan Boulevard,Staten Island,10305,Richmond,POINT (-74.086404 40.594393)
"HSBC Bank USA, National Association",867 E. GATE BLVD,GARDEN CITY,11530,Nassau,POINT (-73.606914 40.742683)
Bank of Hope,50-15 Roosevelt Avenue,Woodside,11317,Queens,POINT (-73.914103 40.743679)
"Bank of Castile, The",1 College Road,Batavia,14020,Genesee,POINT (-78.163539 43.014394)
Manufacturers and Traders Trust Company,2381 Grand Island Boulevard,Grand Island,14072,Erie,POINT (-78.967326 43.026498)
Citibank N. A.,6414 18th Avenue,Brooklyn,11204,Kings,POINT (-73.989909 40.619401)
TD Bank N.A.,1120 Avenue of the Americas,New York,10036,New York,POINT (-73.983392 40.75582)
TD Bank N.A.,2131 46th Avenue,Long Island City,11101,Queens,POINT (-73.946851 40.745753)
Niagara's Choice Federal Credit Union,3619 Packard Road,Niagara Falls,14303,Niagara,POINT (-79.01948 43.089262)
PCSB Bank,40 East 1st Street,Mount Vernon,10550,Westchester,POINT (-73.834809 40.911897)
"Key Bank, National Association",11 Division Street,Amsterdam,12010,Montogomery,POINT (-74.192878 42.938686)
"Capital One, N.A.",4201 White Plains Road,Bronx,10466,Bronx,POINT (-73.857214 40.893727)
Bank of America N.A. GA1-006-15-40,1500 Westchester Avenue,Bronx,10472,Bronx,POINT (-73.879759 40.828531)
New York Community Bank,1833 Hylan Boulevard,Staten Island,10305,Richmond,POINT (-74.094575 40.584382)
"Capital One, N.A.",3721 Hempstead Turnpike,Levittown,11756,Nassau,POINT (-73.498192 40.725651)
"Capital One, N.A.",340 Washington Avenue,North Brentwood,11717,Suffolk,POINT (-73.247876 40.798961)
"Key Bank, National Association",767 New Loudon Rd,Latham,12110,Albany,POINT (-73.761561 42.745024)
TD Bank N.A.,76-02 Main Street,Kew Gardens,11367,Queens,POINT (-73.819662 40.722439)
"Key Bank, National Association",1000 Elmwood Avenue,Buffalo,14222,Erie,POINT (-78.877009 42.924409)
Manufacturers and Traders Trust Company,880 Military Road,Niagara Falls,14304,Niagara,POINT (-78.969017 43.091435)
Apple Bank For Savings,2655 Richmond Avenue,Staten Island,10314,Richmond,POINT (-74.168968 40.58222)
Manufacturers and Traders Trust Company,1100 Wehrle Drive,Bufffalo,14221,Erie,POINT (-78.744389 42.949599)
Sterling National Bank of New York,1 Lake Road West,Congers,10920,Rockland,POINT (-73.94516 41.150791)
Empire Federal Credit Union,"3328 W. Genesee Street, Suite U.",Syracuse,13219,Onondaga,POINT (-76.227013 43.048473)
Wells Fargo ATM,20 Hudson Yards,New York,10001,New York,
Ridgewood Savings Bank,8522 3rd Avenue,Brooklyn,11209,Kings,POINT (-74.030974 40.623694)
Polish & Slavic Federal Credit Union,1919 Hylan Boulevard,Staten Island,10305,Richmond,POINT (-74.096622 40.582697)
"JPMorgan Chase Bank, National Association",1667 OLD COUNTRY RD,PLAINVIEW,11803,Nassau,POINT (-73.447322 40.780958)
"JPMorgan Chase Bank, National Association",20 Palmer Avenue,Scarsdale,10583,Westchester,POINT (-73.773453 40.985241)
Bank of America N.A. GA1-006-15-40,59 Third Street,Troy,12180,Rensselaer,POINT (-73.690497 42.730194)
"JPMorgan Chase Bank, National Association",20519 Hillside Avenue,Hollis,11423,Queens,POINT (-73.760261 40.720675)
Cathay Bank,16-18 East Broadway,New York,10002,New York,POINT (-73.99716 40.713476)
Bethpage Federal Credit Union,357 Larkfield Road,East Northport,11731,Suffolk,POINT (-73.3225 40.869515)
"Key Bank, National Association",5110 Main Street,Williamsville,14221,Erie,POINT (-78.761458 42.960104)
Mid-Hudson Valley Federal Credit Union,1516 ROUTE 55,LAGRANGEVILLE,12540,Dutchess,POINT (-73.762556 41.670879)
Ballston Spa National Bank,625 Maple Avenue,Saratoga Springs,12866,Saratoga,POINT (-73.768992 43.119908)
Finger Lakes Federal Credit Union,70 South Main Street,Fairport,14450,Monroe,POINT (-77.441951 43.099601)
Bank of America N.A. GA1-006-15-40,100 Hillside Avenue,Williston Park,11596,Nassau,POINT (-73.643481 40.756963)
Manufacturers and Traders Trust Company,233 Genesee Street,Utica,13501,Oneida,POINT (-75.233067 43.100494)
"Key Bank, National Association",911 Central Avenue,Albany,12206,Albany,POINT (-73.791629 42.681478)
Five Star Bank,418 North Main Street,Penn Yan,14527,Yates,POINT (-77.059591 42.670468)
New York Community Bank,832 JEWETT AVENUE,STATEN ISLAND,10314,Richmond,POINT (-74.131096 40.616319)
"JPMorgan Chase Bank, National Association",35 Jericho Turnpike,Jericho,11753,Nassau,POINT (-73.565804 40.777154)
"JPMorgan Chase Bank, National Association",854 Pelham Parkway,Pelham,10803,Westchester,POINT (-73.82178 40.893648)
"HSBC Bank USA, National Association",6102 8th Avenue,Brooklyn,11200,Kings,POINT (-74.010315 40.634779)
Manufacturers and Traders Trust Company,204 Fayette Street,Manlius,13104,Onondaga,POINT (-75.981013 43.002861)
Canandaigua National Corporation,1816 Penfield Road,Penfield,14526,Monroe,POINT (-77.476303 43.129946)
Empower Federal Credit Union,3056 East Avenue,Central Square,13036,Sullivan,POINT (-76.131561 43.287337)
Adirondack Bank,214 North Washington Street,Herkimer,13350,Herkimer,POINT (-74.986159 43.027845)
Putnam County National Bank,12 Front Street,Croton Falls,10519,Westchester,POINT (-73.662441 41.348271)
"Community Bank, N.A.",14216 State Street,Harrisville,13648,Lewis,POINT (-75.315459 44.148668)
ESL Federal Credit Union,50 Spencerport Road,Gates,14606,Monroe,POINT (-77.694604 43.16633)
Wells Fargo ATM,180 Madison Avenue,New York,10016,New York,POINT (-73.983155 40.747501)
Seneca Savings,35 OSWEGO STREET,BALDWINSVILLE,13027,Onondaga,POINT (-76.332803 43.159222)
Citizens Bank,Route 9,Queensbury,12801,Warren,
Northfield Bank,3227 Richmond Avenue,Staten Island,10312,Richmond,POINT (-74.169764 40.560278)
"Key Bank, National Association",3550 Brewerton Road,North Syracuse,13212,Onondaga,POINT (-76.145655 43.114825)
Advantage Federal C.U.,211 BAILEY ROAD,HENRIETTA,14586,Monroe,POINT (-77.677959 43.072127)
"NBT Bank, National Association",2 SOUTH MAIN STREET,EARLVILLE,13332,Chenango,POINT (-75.545064 42.739586)
Wells Fargo ATM,100 Shore Road,Port Washington,11050,Nassau,POINT (-73.705766 40.840974)
"JPMorgan Chase Bank, National Association",2626 Hylan Boulevard,Staten Island,10306,Richmond,POINT (-74.112263 40.567887)
"Key Bank, National Association",201 South Warren Street,Syracuse,13202,Onondaga,POINT (-76.150748 43.049386)
"JPMorgan Chase Bank, National Association",2845 Richmond Avenue,Staten Island,10314,Richmond,POINT (-74.16973 40.574976)
"Capital One, N.A.",1166 Avenue of the Americas,New York,10036,New York,POINT (-73.982483 40.757076)
Manufacturers and Traders Trust Company,740 Maple Road,Williamsville,14221,Erie,POINT (-78.760451 42.991121)
Citibank N. A.,1040 Boston Post Road,Rye,10580,Westchester,POINT (-73.684027 40.98012)
"JPMorgan Chase Bank, National Association",163-20 Northern Boulevard,Queens,11358,Queens,POINT (-73.802213 40.760894)
Teachers Federal Credit Union,1040 Waverly Avenue,Holtsville,11742,Suffolk,POINT (-73.045026 40.816638)
Manufacturers and Traders Trust Company,2201 Penfield Road,Penfield,14526,Monroe,POINT (-77.439969 43.130658)
"JPMorgan Chase Bank, National Association",1251 Avenue of the Americas,New York,10020,New York,POINT (-73.980606 40.759658)
Pathfinder Bank,291 State Route 104 East,Oswego,13126,Oswego,POINT (-76.481559 43.461439)
"JPMorgan Chase Bank, National Association",1309 Castle Hill Avenue,Bronx,10462,Bronx,POINT (-73.8519 40.834885)
Glens Falls National Bank & Trust Company,14 Durkee Street,Plattsburgh,12901,Clinton,POINT (-73.452288 44.695662)
"Capital One, N.A.",858 Fulton Street,Brooklyn,11238,Kings,POINT (-73.966985 40.683499)
"JPMorgan Chase Bank, National Association",15 Verbena Avenue,Floral Park,11001,Nassau,POINT (-73.704922 40.724163)
Teachers Federal Credit Union,3rd Avenue and Sunrise Highway,Bay Shore,11706,Suffolk,POINT (-73.257459 40.733998)
Ridgewood Savings Bank,71-02 Forest Ave.,Ridgewood,11385,New York,POINT (-73.899848 40.700276)
"Community Bank, N.A.",1982 East Main Street,Falconer,14733,Chautauqua,
Tomkins Mahopac Bank,630 Route 6,Mahopac,10541,Putnam,POINT (-73.733624 41.372549)
Lyons National Bank,Routes 14 & 31,Lyons,14489,Wayne,
"JPMorgan Chase Bank, National Association",153-15 Cross Island Parkway,Whitestone,11357,Queens,POINT (-73.809568 40.787043)
Island Federal Credit Union,430 Route 25A,East Setauket,11733,Suffolk,POINT (-73.110794 40.9353)
"JPMorgan Chase Bank, National Association",39 SMITH ST,NANUET,10954,Rockland,POINT (-73.999326 41.094782)
Bank of America N.A. GA1-006-15-40,589 Broadway,New York,10012,New York,POINT (-73.997251 40.724856)
Dime Community Bank,2172 Coyle Street,Brooklyn,11229,Kings,POINT (-73.936844 40.599358)
"Community Bank, N.A.",21 West Main Street,Cuba,14727,Allegany,POINT (-78.276453 42.217004)
Manufacturers and Traders Trust Company,133 Main Street,West Hampton Beach,11978,Suffolk,POINT (-72.642319 40.810069)
"JPMorgan Chase Bank, National Association",1975 COMMERCE ST,YORKTOWN HEIGHTS,10598,Westchester,POINT (-73.781938 41.275868)
Metropolitan Commercial Bank,5101 13th Avenue,Brooklyn,11219,Kings,POINT (-73.993458 40.633731)
First Choice Financial FCU,3667 State Route 30,Broadalbin,12025,Fulton,
New York Community Bank,104-08 ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH,11694,Queens,POINT (-73.825314 40.583285)
TD Bank N.A.,340 Court Street,Brooklyn,11231,Kings,POINT (-73.995849 40.682473)
"Key Bank, National Association",69 Main Street,Batavia,14020,Genesee,POINT (-78.184285 42.997624)
Steuben Trust Company,7329 SENECA ROAD NORTH,HORNELL,14843,Steuben,POINT (-77.662034 42.357131)
"Key Bank, National Association",5173 Sheridan Drive,Williamsville,14221,Erie,POINT (-78.741132 42.978562)
"JPMorgan Chase Bank, National Association",365 Broadway,Bethpage,11714,Nassau,POINT (-73.479605 40.742965)
First Republic Bank,320 Park Avenue,New York,10022,New York,POINT (-73.973845 40.757556)
"JPMorgan Chase Bank, National Association",405 Lexington Avenue,New York,10174,New York,POINT (-73.975724 40.751796)
"JPMorgan Chase Bank, National Association",1003 Lexington Avenue,New York,10021,New York,POINT (-73.962025 40.77066)
Citizens Bank,3035 Route 50,Saratoga Springs,12866,Saratoga,POINT (-73.745442 43.101952)
"Key Bank, National Association",3333 West Henrietta,Rochester,14623,Monroe,POINT (-77.636907 43.086971)
TD Bank N.A.,582-586 Ninth Avenue,New York,10036,New York,POINT (-73.992477 40.758612)
Northwest Savings Bank,1531 Niagara Falls Boulevard,Amherst,14228,Erie,POINT (-78.822384 42.996503)
Canandaigua National Corporation,6183 Route 96,Farmington,14425,Ontario,POINT (-77.362783 42.97435)
"Capital One, N.A.",11700 Main Road,Mattituck,11952,Suffolk,POINT (-72.534959 40.988371)
"Capital One, N.A.",550 Franklin Avenue,Franklin Square,11010,Nassau,POINT (-73.683878 40.69266)
"Bank of Castile, The",3155 State Street,Caledonia,14423,Livingston,POINT (-77.852645 42.972771)
CFCU Community Credit Union,1959 RT 5 AND 20,WATERLOO,13165,Seneca,POINT (-76.837342 42.902724)
New York Community Bank,50 ROUTE 111,SMITHTOWN,11787,Suffolk,POINT (-73.187664 40.852979)
Suffolk Federal Credit Union,100 Arrivals Avenue,Ronkonoma,11779,Suffolk,POINT (-73.097671 40.789291)
Savannah Bank N.A.,1565 Main Street,Savannah,13146,Wayne,POINT (-76.760176 43.067132)
"Bank of Castile, The",38 South Main Street,Churchville,14428,Monroe,POINT (-77.884685 43.103266)
Bank of America N.A. GA1-006-15-40,248 Post Avenue,Westbury,11590,Nassau,POINT (-73.587904 40.757695)
"NBT Bank, National Association",110 Main Street,South Glens Falls,12803,Warren,POINT (-73.635893 43.299863)
Sterling National Bank of New York,4302 18th Avenue,Brooklyn,11218,Kings,POINT (-73.976068 40.631262)
The Bank of Greene County,593 Route 143,Westerlo,12193,Albany,POINT (-74.045138 42.514899)
"Community Bank, N.A.",69 South Front St,Hudson,12534,Columbia,POINT (-73.797357 42.254727)
"JPMorgan Chase Bank, National Association",110-36 Merrick Boulevard,Jamaica,11433,Queens,POINT (-73.782011 40.695013)
"JPMorgan Chase Bank, National Association",159-61 5th Avenue,Brooklyn,11217,Kings,POINT (-73.979516 40.67781)
"Capital One, N.A.",115 Main Street,East Rockaway,11518,Nassau,POINT (-73.665613 40.641491)
Citizens Bank,40 Main Avenue,Wynantskill,12198,Rensselaer,POINT (-73.649227 42.697803)
Advantage Federal C.U.,100 RESIDENCE DRIVE,BROCKPORT,14420,Monroe,POINT (-77.947189 43.211022)
The Bank of Greene County,2631 Route 66,Ghent,12705,Columbia,
Lyons National Bank,1530 RIDGE ROAD,ONTARIO,14519,Wayne,POINT (-77.306577 43.226389)
Apple Bank For Savings,1401 Avenue J,Brooklyn,11230,Kings,POINT (-73.962318 40.625079)
ESL Federal Credit Union,2256 Hudson Ave,Rochester,14617,Monroe,POINT (-77.600885 43.209493)
Dime Community Bank,622 Old Country Road,Westbury,11590,Nassau,POINT (-73.574515 40.750469)
Manufacturers and Traders Trust Company,108 North Front Street,Kingston,12401,Ulster,POINT (-74.023359 41.934998)
"JPMorgan Chase Bank, National Association",163 West Merrick Road,Valley Stream,11580,Nassau,POINT (-73.703435 40.666306)
Ridgewood Savings Bank,208-24 Cross Island Parkway,Bayside,11360,Queens,POINT (-73.785863 40.788865)
"JPMorgan Chase Bank, National Association",10 Marble Avenue,Thornwood,10594,Westchester,POINT (-73.781997 41.123968)
Manufacturers and Traders Trust Company,737 Foote Avenue,Jamestown,14701,Chautauqua,POINT (-79.228857 42.080587)
Santander Bank,711 Third Avenue,New York,10017,New York,POINT (-73.973271 40.752387)
Upstate National Bank,One West Main Street,Rochester,14614,Monroe,
Walden Savings Bank,2108 Route 302,Circleville,10919,Orange,POINT (-74.388189 41.513849)
UFirst Federal Credit Union,274 Rugar Street,Plattsburgh,12901,Clinton,POINT (-73.48553 44.687196)
First National Bank of Long Island,3000 Marcus Avenue,Lake Success,11042,Nassau,POINT (-73.695629 40.758087)
State Employees Federal Credit Union,655 Patroon Creek Boulevard,Albany,12206,Albany,POINT (-73.807245 42.683744)
TD Bank N.A.,500 Baychester Ave,Bronx,10475,Bronx,POINT (-73.831875 40.869156)
"Community Bank, N.A.",1199 Main Street,Long Lake,12847,Hamilton,POINT (-74.420401 43.972201)
"Key Bank, National Association",84 North Plank Road,Newburgh,12550,Orange,POINT (-74.033722 41.526417)
"NBT Bank, National Association",One Kirkland Avenue,Clinton,13323,Oneida,
Sterling National Bank of New York,57-07 Junction Boulevard,Elmhurst,11373,Queens,POINT (-73.865841 40.73665)
"JPMorgan Chase Bank, National Association",5191-6 Sunrise Highway,Bohemia,11716,Suffolk,POINT (-73.09163 40.763386)
TD Bank N.A.,2990 Main Street,Peru,12972,Clinton,POINT (-73.527125 44.580026)
Citibank N. A.,435 Main Street,Armonk,10504,Westchester,POINT (-73.713808 41.126974)
"Westchester Bank, The",305 Mamaroneck Avenue,Mamaroneck,10543,Westchester,POINT (-73.734832 40.951055)
Bank of America N.A. GA1-006-15-40,928 McLean Avenue,Yonkers,10704,Westchester,POINT (-73.867429 40.903919)
TD Bank N.A.,324 South Service Road,Melville,11747,Nassau,POINT (-73.41428 40.779967)
Banco Popular North America,1230 Fulton Street,Brooklyn,11216,Kings,POINT (-73.951304 40.680486)
"JPMorgan Chase Bank, National Association",2001 Nesconset-Port Jefferson Highway,Lake Grove,11755,Suffolk,POINT (-73.132694 40.868245)
Citibank N. A.,1388 Pennsylvania Avenue,Brooklyn,11208,Kings,POINT (-73.881324 40.647363)
Citibank N. A.,80 Jamaica Avenue,Brooklyn,11207,Kings,POINT (-73.897048 40.678361)
TD Bank N.A.,6628 18th Avenue,Brooklyn,11204,Kings,POINT (-73.991264 40.618064)
Bank of America N.A. GA1-006-15-40,24-10  Jackson Avenue,Long Island City,11101,Queens,POINT (-73.944645 40.746204)
"Community Bank, N.A.",4781 Rt 30,Amsterdam,12010,Montogomery,POINT (-74.188169 42.975628)
"JPMorgan Chase Bank, National Association",156-17 73rd Avenue,Flushing,11367,Queens,POINT (-73.81126 40.72716)
Bank of America N.A. GA1-006-15-40,600 Dick Road,Depew,14043,Erie,POINT (-78.738207 42.919653)
G.P.O Federal Credit Union,301 BLEECKER STREET,UTICA,13501,Oneida,POINT (-75.226263 43.100867)
ServU Federal Credit Union,46 Millard Street,Dundee,14837,Yates,POINT (-76.985732 42.526236)
Adirondack Bank,185 Genesee Street,Utica,13501,Oneida,POINT (-75.230972 43.101546)
Manufacturers and Traders Trust Company,2109 Routes 5,Seneca Falls,13148,Seneca,
"JPMorgan Chase Bank, National Association",12 East 86th Street,New York,10028,New York,POINT (-73.959532 40.781159)
Bank of America N.A. GA1-006-15-40,2389 Fillmore Avenue,Buffalo,14214,Erie,POINT (-78.83922 42.938901)
"Key Bank, National Association",2155 Penfield Road,Penfield,14526,Monroe,POINT (-77.442709 43.130684)
"Berkshire Bank (Pittsfield, MA)",51 West Main Street,Johnstown,12095,Fulton,POINT (-74.37246 43.006417)
Citizens Bank,66 West Main Street,Webster,14580,Monroe,POINT (-77.432994 43.211909)
"Key Bank, National Association",101 Dolson Avenue,Middletown,10940,Orange,POINT (-74.422968 41.431394)
Genesee Valley FCU,4621 Millennium Drive,Geneseo,14454,Livingston,POINT (-77.79042 42.798135)
Pioneer Savings Bank,440 Main Street,Cairo,12413,Greene,POINT (-73.997816 42.29859)
Sidney Federal Credit Union,8-20 S. Canal Street,Greene,13778,Chenango,POINT (-75.772222 42.329159)
Signature Bank,53 NORTH PARK AVENUE,ROCKVILLE CENTRE,11570,Nassau,POINT (-73.645025 40.65793)
Alma Bank,1705 Crosby Avenue,Bronx,10461,Bronx,POINT (-73.831296 40.845567)
Bank of America N.A. GA1-006-15-40,880 Quincy Street,Brooklyn,11221,Kings,POINT (-73.923877 40.690047)
Citibank N. A.,250 Conkin Street,Farmingdale,11735,Nassau,POINT (-73.448964 40.732432)
Municipal Credit Union,2142 Ralph Avenue,Brooklyn,11234,Kings,POINT (-73.91795 40.625431)
"Community Bank, N.A.",14230 Route 9N,Ausable,12912,Essex,
Trustco Bank N.A. CTF,286 Saratoga Road,Glenville,12302,Schenectady,POINT (-73.930671 42.872547)
School Employees of CNY Federal Credit Union,227 E. Main Street,Elbridge,13060,Onondaga,POINT (-76.438897 43.036047)
Adirondack Bank,108 Codling Street,Old Forge,13420,Herkimer,POINT (-74.970643 43.711849)
Gouverneur Savings & Loan Association,42 Church Street,Gouverneur,13642,St. Lawrence,POINT (-75.468064 44.335165)
ESL Federal Credit Union,2560 Monroe Avenue,Rochester,14618,Monroe,POINT (-77.553209 43.116089)
"JPMorgan Chase Bank, National Association",67 Lafayette Avenue,Suffern,10901,Rockland,POINT (-74.15135 41.115415)
TEG Federal Credit Union,2540 Route 55,Poughquag,12538,Dutchess,POINT (-73.688373 41.625355)
Wells Fargo ATM,1076 Yonkers Avenue,Yonkers,10704,Westchester,POINT (-73.857258 40.91356)
